id	name	album	popularity	danceability	energy	loudness	speechiness	acousticness	instrumentalness	liveness	valence	tempo	duration_ms
1rzyMlUqq6MvTvzZYdB3C3	The Fairy Feller's Master-Stroke	Queen II	34	0.441	0.897	-8.628	0.0909	0.248	0.0113	0.121	0.696	159.15	160987
3DTonaWjulk1qsxL7ULIax	The Hitman	Innuendo	35	0.385	0.982	-4.711	0.122	0.00367	0.0211	0.429	0.0958	90.184	296627
6VoiY3rukFPoqzP4AoGPU8	The Invisible Man	The Miracle	50	0.704	0.792	-6.94	0.0422	0.188	0.0155	0.328	0.563	119.994	237680
5Ztwhn7zR0q7wRe2ZZsrmN	The Loser In The End	Queen II	33	0.386	0.813	-8.035	0.157	0.0346	2.68e-6	0.152	0.677	145.113	241187
4FX8fPOIDRR2voDqOkfeKk	The March Of The Black Queen	Queen II	36	0.332	0.687	-8.44	0.0787	0.0904	1.3e-5	0.64	0.136	112.307	392947
62daWSLgfeezIl4MTQFb08	The Millionaire Waltz	A Day At The Races	35	0.323	0.338	-7.625	0.0327	0.617	9.48e-6	0.129	0.37	93.231	295333
5EQXJGm08LMM1ZtVmkYJMn	The Miracle	The Miracle	47	0.481	0.651	-6.022	0.027	0.158	0	0.549	0.549	91.963	301360
2msar6CW5wBQlhm3YCYPTa	The Night Comes Down	Queen	35	0.406	0.57	-12.374	0.0633	0.692	0.00219	0.396	0.642	142.792	263027
6C3wj5V8mqLYtYqgJCABZW	The Prophet's Song	A Night At The Opera	44	0.395	0.446	-9.819	0.0452	0.314	9.26e-5	0.348	0.18	140.558	500960
5n6RDaGFSN88oRWuGtYAIN	The Show Must Go On	Innuendo	69	0.426	0.687	-6.926	0.0329	0.409	0	0.112	0.189	84.141	277827
5js1JJOAkR5KwlifBpvHMN	These Are The Days Of Our Lives	Innuendo	59	0.689	0.4	-9.63	0.0299	0.372	1.37e-4	0.0605	0.559	112.64	255040
6In9ynCY22Ed1YRhpLMZLl	Tie Your Mother Down	A Day At The Races	36	0.331	0.887	-5.588	0.0648	0.114	1.03e-4	0.367	0.196	135.035	287427
0W1uTK6I97CbjFKAVtRGfK	Too Much Love Will Kill You	Made In Heaven	63	0.385	0.395	-7.602	0.0313	0.58	6.31e-5	0.159	0.21	72.933	259213
2fuCquhmrzHpu5xcA1ci9x	Under Pressure	Hot Space	82	0.671	0.712	-7.815	0.0476	0.429	0	0.103	0.462	113.805	248440
