player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Gideon Mensah,DF,Ghana,24.42,1,0,0,0,0,4,0,1,32.2,78.3,59,Africa,fase de grupos,no
Gio Reyna,FW,United States,20.1,0.6,0,0,0,2,1,0,2,14.7,68.4,42,North America,octavos de final,no
Giorgian De Arrascaeta,MF,Uruguay,28.55,1.2,0,0,0,0,7,2,2,40,61.5,69,South America,fase de grupos,no
Gleison Bremer,DF,Brazil,25.75,1.2,0,0,2,0,9,0,2,22.7,92.9,95,South America,cuartos de final,no
Gonzalo Montiel,DF,Argentina,25.96,1.3,0,3,4,2,3,0,4,17.1,85.2,95,South America,final o tercer puesto,si
Gonzalo Plata,MF,Ecuador,22.13,3,0,0,4,6,10,0,3,99.6,74,133,South America,fase de grupos,no
Gonçalo Ramos,FW,Portugal,21.5,1.7,0,0,2,3,2,3,4,33.8,80.6,55,Europe,cuartos de final,no
Granit Xhaka,MF,Switzerland,30.22,4,0,1,5,4,21,0,4,100,88.5,273,Europe,octavos de final,si
Gregor Kobel,GK,Switzerland,25.03,1,0,0,0,0,2,0,1,25,72.4,29,Europe,octavos de final,no
Grzegorz Krychowiak,MF,Poland,32.88,3.7,0,1,6,7,23,0,4,92.2,73.2,165,Europe,octavos de final,si
Guido Rodríguez,MF,Argentina,28.68,0.6,0,0,0,0,2,0,1,8.1,84.4,69,South America,final o tercer puesto,no
Guillermo Ochoa,GK,Mexico,37.43,3,0,0,0,1,7,0,3,100,85.3,112,North America,fase de grupos,no
Guillermo Varela,DF,Uruguay,29.74,2,0,0,3,8,8,0,3,67.8,67.4,109,South America,fase de grupos,no
Haji Wright,FW,United States,24.73,1.5,0,0,1,3,4,1,4,38.1,74.1,44,North America,octavos de final,no
Hakim Ziyech,FW,Morocco,29.75,7.1,0,0,12,7,29,1,7,96.2,69,386,Africa,final o tercer puesto,no
Hannibal Mejbri,MF,Tunisia,19.91,0.1,0,0,0,0,1,0,1,4.1,100,4,Africa,fase de grupos,no
Haris Seferović,FW,Switzerland,30.82,0.8,0,0,1,0,1,0,3,19.7,71.4,20,Europe,octavos de final,no
Harry Kane,FW,England,29.39,4.5,0,0,1,9,16,2,5,89.3,63.3,138,Europe,cuartos de final,no
Harry Maguire,DF,England,29.79,4.8,0,1,6,2,17,0,5,95.3,87,445,Europe,cuartos de final,si
Harry Souttar,DF,Australia,24.16,4,0,0,1,1,17,0,4,100,82.6,213,Oceania,octavos de final,no
Harry Wilson,MF,Wales,25.74,1.8,0,0,1,2,10,0,3,59.3,75,81,Europe,fase de grupos,no
Hassan Al Tambakti,DF,Saudi Arabia,23.85,2,0,1,2,5,9,0,2,66.7,72.7,75,Asia,fase de grupos,si
Hassan Al-Haydos,MF,Qatar,32.02,2.3,0,0,4,0,12,0,3,76.3,81.3,101,Asia,fase de grupos,no
Hattan Bahebri,MF,Saudi Arabia,30.42,0,0,1,2,0,1,0,2,1.5,57.1,7,Asia,fase de grupos,si
Henry Martín,FW,Mexico,30.08,1.6,0,0,3,3,4,1,2,54.1,65,35,North America,fase de grupos,no
Hernán Galíndez,GK,Ecuador,35.72,3,0,0,0,0,3,0,3,100,59.5,77,South America,fase de grupos,no
Hidemasa Morita,MF,Japan,27.61,3.2,0,0,4,1,21,0,3,73.1,82.2,192,Asia,octavos de final,no
Hiroki Ito,DF,Japan,23.6,0.5,0,0,3,0,2,0,1,11.5,92.1,64,Asia,octavos de final,no
Hiroki Sakai,MF,Japan,32.68,1.3,0,0,3,1,6,0,2,30.5,59.6,70,Asia,octavos de final,no
Hirving Lozano,FW,Mexico,27.39,2.8,0,0,7,11,14,0,3,93.3,54.5,109,North America,fase de grupos,no
Homam Ahmed,DF,Qatar,23.32,2.9,0,1,5,8,14,0,3,97,73.3,115,Asia,fase de grupos,si
Hong Chul,DF,Korea Republic,32.25,0.5,0,0,0,0,2,0,1,12.5,85,24,Asia,octavos de final,no
Hossein Hosseini,GK,IR Iran,30.47,1.8,0,0,0,0,0,0,2,59.6,48.9,49,Asia,fase de grupos,no
Hossein Kanaanizadegan,DF,IR Iran,28.74,0.5,0,1,0,1,1,0,1,16.7,72.7,15,Asia,fase de grupos,si
Hugo Lloris,GK,France,35.98,6.3,0,0,0,1,5,0,6,86.4,60.4,203,Europe,final o tercer puesto,no
Hwang Hee-chan,MF,Korea Republic,26.89,1.3,0,1,3,3,7,1,2,31.9,76.3,84,Asia,octavos de final,si
Hwang In-beom,MF,Korea Republic,26.24,3.7,0,0,7,3,22,0,4,92.8,78.5,276,Asia,octavos de final,no
Hwang Ui-jo,FW,Korea Republic,30.31,1.2,0,0,0,0,3,0,4,29.4,81.8,18,Asia,octavos de final,no
Héctor Herrera,MF,Mexico,32.67,1.8,0,1,4,1,7,0,2,59.3,82.1,91,North America,fase de grupos,si
Héctor Moreno,DF,Mexico,34.92,3,0,1,3,3,14,0,3,100,84.6,210,North America,fase de grupos,si
Ibrahima Konaté,DF,France,23.57,3.3,0,0,2,4,14,0,5,44.5,91.5,283,Europe,final o tercer puesto,no
Idrissa Gana Gueye,MF,Senegal,33.23,3,0,2,4,1,15,0,3,75,80.5,155,Africa,octavos de final,si
Ilias Chair,MF,Morocco,25.13,0.5,0,0,0,0,2,0,1,6.8,86.7,18,Africa,final o tercer puesto,no
Iliman Ndiaye,FW,Senegal,22.79,1.5,0,0,0,1,4,0,3,37.5,78.1,44,Africa,octavos de final,no
Ismail Jakobs,DF,Senegal,23.34,3.1,0,1,3,6,9,0,4,77.2,68.6,184,Africa,octavos de final,si
Ismail Mohamad,FW,Qatar,32.7,1.9,0,1,1,6,NA,0,2,64.4,NA,NA,Asia,fase de grupos,si
Ismaila Sarr,FW,Senegal,24.81,3.8,0,0,3,17,17,1,4,95.6,64.2,133,Africa,octavos de final,no
Ismaël Koné,MF,Canada,20.53,1.2,0,0,0,1,3,0,3,40.4,95,103,North America,fase de grupos,no
Issam Jebali,FW,Tunisia,30.98,2,0,0,10,2,8,0,3,67.4,71.4,60,Africa,fase de grupos,no
Ivan Ilić,MF,Serbia,21.76,0.4,0,0,0,0,3,0,1,12.6,95,23,Europe,fase de grupos,no
Ivan Perišić,FW,Croatia,33.87,7.4,0,0,10,0,31,1,7,97,69.2,378,Europe,final o tercer puesto,no
Iñaki Williams,FW,Ghana,28.51,3,0,0,4,3,9,0,3,100,69,63,Africa,fase de grupos,no
Jack Grealish,FW,England,27.27,1,0,0,0,10,6,1,5,19.1,88.9,71,Europe,cuartos de final,no
Jackson Irvine,MF,Australia,29.78,3.9,0,2,7,2,11,0,4,98.3,80.5,170,Oceania,octavos de final,si
Jackson Porozo,DF,Ecuador,22.37,1.1,0,0,1,2,2,0,2,35.6,88.6,58,South America,fase de grupos,no
Jakub Kamiński,MF,Poland,20.54,2.6,0,0,5,2,17,0,4,64.7,60.7,88,Europe,octavos de final,no
Jakub Kiwior,DF,Poland,22.84,3.9,0,1,1,0,11,0,4,98.6,84.9,236,Europe,octavos de final,si
Jamal Musiala,MF,Germany,19.81,2.9,0,0,1,6,19,0,3,95.6,81,163,Europe,fase de grupos,no
Jamie Maclaren,FW,Australia,29.39,0.6,0,0,1,0,1,0,3,15.3,46.7,15,Oceania,octavos de final,no
Jan Bednarek,DF,Poland,26.68,0.1,0,0,0,0,1,0,1,1.4,100,6,Europe,octavos de final,no
Jan Vertonghen,DF,Belgium,35.65,3,0,0,0,6,15,0,3,100,88.5,290,Europe,fase de grupos,no
Jason Cummings,FW,Australia,27.38,0.4,0,0,0,0,1,0,1,9.7,66.7,9,Oceania,octavos de final,no
Jawad El Yamiq,DF,Morocco,30.8,3.4,0,0,1,4,20,0,6,46.8,89,202,Africa,final o tercer puesto,no
Jean-Charles Castelletto,DF,Cameroon,27.89,2,0,0,1,1,9,1,2,66.7,80.5,109,Africa,fase de grupos,no
Jeong Woo-yeong,MF,Korea Republic,23.24,0.5,0,0,1,0,1,0,1,12.5,80,20,Asia,octavos de final,no
Jeremy Doku,MF,Belgium,20.56,0.2,0,0,0,1,0,0,1,7,57.1,16,Europe,fase de grupos,no
Jeremy Sarmiento,MF,Ecuador,20.51,0.9,0,0,2,2,6,0,3,31.5,62.2,44,South America,fase de grupos,no
Jerome Ngom Mbekeli,MF,Cameroon,24.22,0.1,0,0,0,0,0,0,1,1.9,50,4,Africa,fase de grupos,no
Jesper Lindstrøm,MF,Denmark,22.8,2.2,0,0,4,2,8,0,3,74.1,69.2,81,Europe,fase de grupos,no
Jesús Ferreira,FW,United States,21.98,0.5,0,0,0,1,1,0,1,12.5,84.2,24,North America,octavos de final,no
Jesús Gallardo,DF,Mexico,28.34,3,0,0,4,1,14,0,3,100,69.4,167,North America,fase de grupos,no
Jewison Bennette,MF,Costa Rica,18.51,1.1,0,0,0,2,4,0,3,38.1,78.6,29,North America,fase de grupos,no
Jhegson Méndez,MF,Ecuador,25.65,2,0,2,3,2,16,0,2,66.7,91.4,150,South America,fase de grupos,si
Joachim Andersen,DF,Denmark,26.55,3,0,0,3,4,15,0,3,100,79.2,281,Europe,fase de grupos,no
Joakim Mæhle,DF,Denmark,25.58,2.8,0,0,1,4,10,0,3,92.2,81.5,185,Europe,fase de grupos,no
Joe Allen,MF,Wales,32.76,1,0,0,0,2,9,0,2,34.8,83.3,51,Europe,fase de grupos,no
Joe Morrell,MF,Wales,25.96,0.4,0,0,1,1,4,0,2,12.2,85.7,24,Europe,fase de grupos,no
Joe Rodon,DF,Wales,25.16,3,0,1,3,0,10,0,3,100,89.9,192,Europe,fase de grupos,si
Joel Campbell,FW,Costa Rica,30.48,3,0,1,3,11,14,0,3,99.6,75.4,179,North America,fase de grupos,si
Johan Venegas,FW,Costa Rica,34.06,0.8,0,0,1,1,1,0,1,27,78.6,21,North America,fase de grupos,no
John Stones,DF,England,28.56,4.8,0,0,4,3,17,0,5,96.4,95.8,475,Europe,cuartos de final,no
Jonas Hofmann,FW,Germany,30.43,0.3,0,0,0,0,0,0,2,11.1,80,24,Europe,fase de grupos,no
Jonathan David,FW,Canada,22.93,2.1,0,0,0,1,5,0,3,71.1,68.3,84,North America,fase de grupos,no
Jonathan Osorio,MF,Canada,30.52,1.3,0,1,1,2,5,0,3,44.1,91.2,68,North America,fase de grupos,si
Jordan Ayew,FW,Ghana,31.27,1.5,0,0,2,5,8,0,3,50.4,76.1,68,Africa,fase de grupos,no
Jordan Henderson,MF,England,32.5,3,0,0,5,4,12,1,4,60.2,84,179,Europe,cuartos de final,no
Jordan Morris,FW,United States,28.15,0,0,0,0,0,0,0,2,1.1,25,5,North America,octavos de final,no
Jordan Pickford,GK,England,28.78,5,0,0,0,0,4,0,5,100,78.8,169,Europe,cuartos de final,no
Jordan Veretout,MF,France,29.8,0.7,0,0,2,0,1,0,1,9.4,91.7,43,Europe,final o tercer puesto,no
Jordi Alba,DF,Spain,33.75,2.9,0,0,4,3,20,0,4,67.7,88.2,392,Europe,octavos de final,no
Jorge Eduardo Sánchez,DF,Mexico,25.02,1.9,0,1,5,1,6,0,2,64.8,79.3,113,North America,fase de grupos,si
Josh Sargent,FW,United States,22.82,1.7,0,0,2,0,1,0,3,43.6,87.9,48,North America,octavos de final,no
Joshua Kimmich,MF,Germany,27.86,3,0,1,2,2,19,0,3,100,84.6,301,Europe,fase de grupos,si
Josip Juranović,DF,Croatia,27.34,6.7,0,0,1,6,40,0,6,87,78.5,450,Europe,final o tercer puesto,no
Josip Stanišić,DF,Croatia,22.71,1,0,0,1,2,4,0,1,13,73.5,56,Europe,final o tercer puesto,no
Josip Šutalo,DF,Croatia,22.8,1,0,0,0,0,3,0,1,13,93.9,73,Europe,final o tercer puesto,no
José Cifuentes,MF,Ecuador,23.77,0.7,0,0,3,0,3,0,2,21.9,75,52,South America,fase de grupos,no
José María Giménez,DF,Uruguay,27.91,3,0,1,4,3,13,0,3,100,81,213,South America,fase de grupos,si
João Cancelo,DF,Portugal,28.56,3.4,0,0,2,4,24,0,4,68.9,81.5,311,Europe,cuartos de final,no
João Félix,FW,Portugal,23.1,3.7,0,1,8,9,9,1,4,73.6,74.6,153,Europe,cuartos de final,si
João Mário,FW,Portugal,29.91,0.9,0,0,0,0,5,0,2,18.7,92.5,52,Europe,cuartos de final,no
João Palhinha,MF,Portugal,27.44,0.4,0,0,2,0,5,0,3,8.4,83.9,41,Europe,cuartos de final,no
Joško Gvardiol,DF,Croatia,20.9,7.7,0,0,8,6,48,1,7,100,89.4,601,Europe,final o tercer puesto,no
Juan Foyth,DF,Argentina,24.93,0.1,0,0,0,0,0,0,1,0.7,75,5,South America,final o tercer puesto,no
Juan Pablo Vargas,DF,Costa Rica,27.53,1,0,0,0,0,5,1,1,33.3,79.2,41,North America,fase de grupos,no
Jude Bellingham,MF,England,19.47,4.6,0,0,5,5,31,1,5,92,88.7,324,Europe,cuartos de final,no
Jules Koundé,DF,France,24.1,5.3,0,1,5,2,25,0,6,72.7,81,352,Europe,final o tercer puesto,si
Julián Álvarez,FW,Argentina,22.88,5.2,0,0,13,2,21,4,7,67.2,76.9,174,South America,final o tercer puesto,no
Jung Woo-young,MF,Korea Republic,33.01,3.4,0,2,11,0,24,0,4,84.2,84.4,239,Asia,octavos de final,si
Junior Hoilett,FW,Canada,32.54,1.8,0,1,1,5,8,0,3,59.6,72.9,78,North America,fase de grupos,si
Junya Ito,MF,Japan,29.78,3.6,0,0,0,5,17,0,4,83.1,60.8,134,Asia,octavos de final,no
Jurriën Timber,DF,Netherlands,21.5,4.3,0,1,17,4,30,0,4,81.3,90.4,361,Europe,cuartos de final,si
Kai Havertz,FW,Germany,23.52,1.1,0,0,3,0,3,2,2,37.8,79.4,46,Europe,fase de grupos,no
Kalidou Koulibaly,DF,Senegal,31.5,4,0,1,3,3,28,1,4,100,76.1,260,Africa,octavos de final,si
Kalvin Phillips,MF,England,27.04,0.5,0,0,1,0,1,0,2,9.3,89.5,20,Europe,cuartos de final,no
Kamal Miller,DF,Canada,25.59,3,0,1,0,3,14,0,3,100,90.7,229,North America,fase de grupos,si
Kamaldeen Sulemana,FW,Ghana,20.84,0.6,0,1,2,2,0,0,2,21.5,52.6,28,Africa,fase de grupos,si
Kamil Glik,DF,Poland,34.87,4,0,0,2,0,11,0,4,100,90.8,167,Europe,octavos de final,no
Kamil Grosicki,MF,Poland,34.53,0,0,0,0,0,0,0,1,1.1,66.7,6,Europe,octavos de final,no
Kaoru Mitoma,MF,Japan,25.58,1.8,0,0,3,1,17,0,4,42.3,71.4,100,Asia,octavos de final,no
Karim Ansarifard,FW,IR Iran,32.71,0.4,0,0,0,0,0,0,2,13,80,11,Asia,fase de grupos,no
Karim Boudiaf,MF,Qatar,32.25,2.1,0,1,2,1,12,0,3,68.5,88.7,122,Asia,fase de grupos,si
Karl Toko Ekambi,FW,Cameroon,30.26,1.8,0,0,0,3,8,0,3,61.5,81.1,66,Africa,fase de grupos,no
Karol Świderski,FW,Poland,25.9,0.5,0,0,0,1,3,0,1,12.5,100,14,Europe,octavos de final,no
Kasper Dolberg,FW,Denmark,25.2,1.3,0,0,2,2,3,0,3,42.2,83.3,34,Europe,fase de grupos,no
Kasper Schmeichel,GK,Denmark,36.12,3,0,0,0,0,5,0,3,100,82.8,91,Europe,fase de grupos,no
Keanu Baccus,MF,Australia,24.53,1.3,0,0,4,1,11,0,4,31.7,63.4,59,Oceania,octavos de final,no
Kellyn Acosta,MF,United States,27.4,0.5,0,1,1,0,2,0,2,11.9,83.3,16,North America,octavos de final,si
Kendall Waston,DF,Costa Rica,34.96,2.5,0,0,1,0,10,0,3,83.3,80.3,107,North America,fase de grupos,no
Kenneth Taylor,MF,Netherlands,20.59,0.1,0,0,0,0,0,0,1,1,100,9,Europe,cuartos de final,no
Kevin De Bruyne,FW,Belgium,31.47,3,0,0,0,2,11,0,3,100,68.4,163,Europe,fase de grupos,no
Kevin Rodríguez,FW,Ecuador,22.79,0,0,0,1,0,NA,0,2,0.7,NA,NA,South America,fase de grupos,no
Kevin Álvarez,DF,Mexico,23.92,0.8,0,0,0,1,4,0,2,25.9,65.5,38,North America,fase de grupos,no
Keylor Navas,GK,Costa Rica,36.01,3,0,0,0,0,0,0,3,100,59.8,114,North America,fase de grupos,no
Keysher Fuller,DF,Costa Rica,28.44,2.8,0,0,2,4,11,1,3,93.7,69.8,92,North America,fase de grupos,no
Kieffer Moore,FW,Wales,30.36,2.5,0,0,5,4,7,0,3,83.3,64.3,95,Europe,fase de grupos,no
Kieran Trippier,DF,England,32.25,2.3,0,0,1,0,11,0,3,45.8,84.6,205,Europe,cuartos de final,no
Kim Jin-su,DF,Korea Republic,30.52,3.5,0,0,1,6,12,0,4,87.5,71.9,175,Asia,octavos de final,no
Kim Min-jae,DF,Korea Republic,26.09,3,0,0,0,0,14,0,3,74.7,87.4,213,Asia,octavos de final,no
Kim Moonhwan,DF,Korea Republic,27.38,4,0,0,1,0,16,0,4,100,83.1,289,Asia,octavos de final,no
Kim Seung-gyu,GK,Korea Republic,32.22,4,0,0,0,0,5,0,4,100,72.7,139,Asia,octavos de final,no
Kim Young-gwon,DF,Korea Republic,32.81,3.9,0,1,1,2,13,1,4,97.2,85.2,232,Asia,octavos de final,si
Kingsley Coman,FW,France,26.52,1.9,0,0,1,2,12,0,6,25.6,77.8,102,Europe,final o tercer puesto,no
Ko Itakura,DF,Japan,25.89,3,0,2,5,0,13,0,3,69.2,88.3,150,Asia,octavos de final,si
Koke,MF,Spain,30.94,0.6,0,0,0,0,2,0,2,13.3,90.3,68,Europe,octavos de final,no
Kristijan Jakić,FW,Croatia,25.6,0,0,0,0,0,0,0,1,0.1,NA,0,Europe,final o tercer puesto,no
Krystian Bielik,MF,Poland,24.95,2.4,0,0,5,4,10,0,4,60,86.9,129,Europe,octavos de final,no
Krzysztof Piątek,FW,Poland,27.47,0.3,0,0,0,1,1,0,2,7.8,33.3,9,Europe,octavos de final,no
Krépin Diatta,FW,Senegal,23.81,2,0,0,4,2,11,0,3,50.3,82.2,88,Africa,octavos de final,no
Kudus Mohammed,FW,Ghana,22.38,2.7,0,1,3,5,22,2,3,91.5,71.3,118,Africa,fase de grupos,si
Kwon Chang-hoon,FW,Korea Republic,28.47,0.6,0,0,0,0,3,0,1,15.6,76,28,Asia,octavos de final,no
Kwon Kyung-won,DF,Korea Republic,30.88,1,0,0,0,3,2,0,2,25.3,90.7,53,Asia,octavos de final,no
Kye Rowles,DF,Australia,24.48,4,0,0,1,2,12,0,4,100,88.2,231,Oceania,octavos de final,no
Kyle Walker,DF,England,32.56,2.6,0,0,3,3,10,0,3,52.4,89.5,198,Europe,cuartos de final,no
Kylian Mbappé,FW,France,23.99,6.6,0,0,7,7,20,8,7,90.6,75.5,325,Europe,final o tercer puesto,no
Lautaro Martínez,FW,Argentina,25.32,2.7,0,0,1,5,13,0,6,34.9,74.2,96,South America,final o tercer puesto,no
Lawrence Ati-Zigi,GK,Ghana,26.05,3,0,0,0,0,3,0,3,100,69.2,87,Africa,fase de grupos,no
Leander Dendoncker,DF,Belgium,27.68,1.8,0,1,3,0,6,0,2,59.6,97.5,142,Europe,fase de grupos,si
Leandro Paredes,MF,Argentina,28.47,2.5,0,2,6,5,19,0,5,32.6,93.5,269,South America,final o tercer puesto,si
Leandro Trossard,FW,Belgium,28.04,1.1,0,0,0,2,7,0,3,38.1,75.4,66,Europe,fase de grupos,no
Lee Jae-sung,MF,Korea Republic,30.36,2.3,0,0,2,1,7,0,3,58.6,86.6,116,Asia,octavos de final,no
Lee Kangin,MF,Korea Republic,21.83,1.6,0,1,2,4,6,0,4,40.8,80.5,91,Asia,octavos de final,si
Leon Goretzka,MF,Germany,27.86,1.8,0,1,4,3,12,0,3,58.9,73.7,72,Europe,fase de grupos,si
Leroy Sané,FW,Germany,26.93,1.2,0,0,0,0,6,0,2,41.1,81,68,Europe,fase de grupos,no
Liam Millar,DF,Canada,23.22,0.1,0,0,1,0,0,0,1,3.7,44.4,9,North America,fase de grupos,no
Lionel Messi,FW,Argentina,35.48,7.7,0,1,10,22,22,7,7,100,80.9,460,South America,final o tercer puesto,si
Lisandro Martínez,DF,Argentina,24.92,3.4,0,1,2,3,6,0,5,43.9,85.3,188,South America,final o tercer puesto,si
Lovro Majer,MF,Croatia,24.92,1.4,0,0,5,3,10,1,7,18.8,79.6,122,Europe,final o tercer puesto,no
Loïs Openda,FW,Belgium,22.84,0.1,0,0,0,1,1,0,1,4.8,60,9,Europe,fase de grupos,no
Lucas Cavallini,FW,Canada,29.97,0.2,0,0,1,0,0,0,1,7,100,3,North America,fase de grupos,no
Lucas Hernández,DF,France,26.84,0.1,0,0,0,0,1,0,1,1.8,50,10,Europe,final o tercer puesto,no
Lucas Paquetá,MF,Brazil,25.31,3.5,0,0,4,2,13,1,4,65.4,83.7,229,South America,cuartos de final,no
Luis Chávez,MF,Mexico,26.92,3,0,0,3,8,15,1,3,100,71.2,171,North America,fase de grupos,no
Luis Suárez,FW,Uruguay,35.9,1.6,0,1,0,6,3,0,3,54.1,62.5,52,South America,fase de grupos,si
Luka Jović,FW,Serbia,24.99,0.4,0,1,1,0,0,0,1,13.3,60,14,Europe,fase de grupos,si
Luka Modrić,MF,Croatia,37.27,7.3,0,1,13,15,51,0,7,94.6,84.4,615,Europe,final o tercer puesto,si
Lukas Klostermann,DF,Germany,26.54,0.7,0,0,1,0,6,0,2,24.4,98.1,56,Europe,fase de grupos,no
Luke Shaw,DF,England,27.44,4.7,0,0,5,4,21,0,5,94.2,83.8,419,Europe,cuartos de final,no
Luuk de Jong,FW,Netherlands,32.31,0.6,0,0,1,1,2,0,1,11.9,66.7,19,Europe,cuartos de final,no
Majid Hosseini,DF,IR Iran,26.5,3,0,1,4,1,22,0,3,100,81.1,137,Asia,fase de grupos,si
Manuel Akanji,DF,Switzerland,27.42,4,0,1,4,1,18,1,4,100,88.4,287,Europe,octavos de final,si
Manuel Neuer,GK,Germany,36.73,3,0,0,0,0,4,0,3,100,90.6,133,Europe,fase de grupos,no
Marcelo Brozović,MF,Croatia,30.09,6.1,0,1,12,11,45,0,6,80,87.9,594,Europe,final o tercer puesto,si
Marco Asensio,FW,Spain,26.91,2.5,0,0,3,3,3,1,4,58.7,74.8,150,Europe,octavos de final,no
Marcos Acuña,DF,Argentina,31.14,4.1,0,3,9,9,16,0,6,54.1,77,269,South America,final o tercer puesto,si
Marcos Llorente,DF,Spain,27.88,1.3,0,0,0,0,9,0,1,30.8,89.6,107,Europe,octavos de final,no
Marcus Rashford,FW,England,25.13,1.6,0,0,1,0,8,3,5,31.1,74.2,92,Europe,cuartos de final,no
Marcus Thuram,FW,France,25.37,1.7,0,1,3,5,7,0,5,22.9,69.2,74,Europe,final o tercer puesto,si
Mario Götze,MF,Germany,30.54,0.4,0,0,0,1,0,0,2,13.3,91.3,31,Europe,fase de grupos,no
Mario Pašalić,FW,Croatia,27.85,3,0,0,4,1,21,0,7,39.3,80,132,Europe,final o tercer puesto,no
Mark-Anthony Kaye,MF,Canada,28.04,0.7,0,0,1,1,4,0,1,21.9,83.6,68,North America,fase de grupos,no
Marko Grujić,MF,Serbia,26.68,0.1,0,0,0,0,2,0,1,4.8,82.4,20,Europe,fase de grupos,no
Marko Livaja,FW,Croatia,29.31,2.7,0,0,6,3,10,1,6,34.9,60.3,83,Europe,final o tercer puesto,no
Marquinhos,DF,Brazil,28.6,4.7,0,1,1,2,28,0,5,88.8,95.7,392,South America,cuartos de final,si
Marten de Roon,MF,Netherlands,31.72,2,0,0,3,0,8,0,5,38.3,81.5,142,Europe,cuartos de final,no
Martin Braithwaite,FW,Denmark,31.54,1.1,0,0,0,0,1,0,2,38.1,70,24,Europe,fase de grupos,no
Martin Hongla,MF,Cameroon,24.76,1.3,0,0,1,1,3,0,2,44.8,80.3,73,Africa,fase de grupos,no
Martinelli,FW,Brazil,21.5,1.3,0,0,2,3,5,0,3,23.5,75.6,70,South America,cuartos de final,no
Martín Cáceres,DF,Uruguay,35.7,1,0,1,1,0,3,0,1,33.3,86.1,83,South America,fase de grupos,si
Mason Mount,MF,England,23.94,2.1,0,0,7,9,7,0,4,41.3,83.6,91,Europe,cuartos de final,no
Mateo Kovačić,MF,Croatia,28.62,7.1,0,2,3,11,46,0,7,92,90.2,521,Europe,final o tercer puesto,si
Matheus Nunes,MF,Portugal,24.31,0.8,0,0,2,2,0,0,2,16.2,84.8,39,Europe,cuartos de final,no
Mathew Leckie,MF,Australia,31.87,3.7,0,0,8,6,15,1,4,92.5,65,157,Oceania,octavos de final,no
Mathew Ryan,GK,Australia,30.7,4,0,0,0,1,4,0,4,100,68.9,176,Oceania,octavos de final,no
Mathias Jensen,MF,Denmark,26.96,0.9,0,1,2,1,5,0,2,31.1,77.6,76,Europe,fase de grupos,si
Mathías Olivera,DF,Uruguay,25.13,2.8,0,1,2,3,15,0,3,93.7,78.2,178,South America,fase de grupos,si
Matt Turner,GK,United States,28.48,4,0,0,0,4,7,0,4,100,78.9,137,North America,octavos de final,no
Matthias Ginter,DF,Germany,28.91,0,0,0,1,0,0,0,1,0.4,100,3,Europe,fase de grupos,no
Matthijs de Ligt,DF,Netherlands,23.35,1,0,1,4,1,3,0,2,19,91.1,49,Europe,cuartos de final,si
Matty Cash,DF,Poland,25.36,4,0,2,7,3,10,0,4,100,76.9,197,Europe,octavos de final,si
Mattéo Guendouzi,FW,France,23.68,0.9,0,0,0,1,4,0,1,11.8,81.8,36,Europe,final o tercer puesto,no
Matías Vecino,MF,Uruguay,31.32,2.2,0,0,4,0,18,0,3,72.2,71.7,130,South America,fase de grupos,no
Matías Viña,DF,Uruguay,25.11,0.2,0,0,1,0,1,0,2,6.3,52.4,26,South America,fase de grupos,no
Maxi Gómez,FW,Uruguay,26.35,0.3,0,0,1,1,0,0,2,11.1,71.4,9,South America,fase de grupos,no
Maya Yoshida,DF,Japan,34.32,4.3,0,1,3,4,30,0,4,100,85.3,277,Asia,octavos de final,si
Mehdi Taremi,FW,IR Iran,30.42,3,0,0,5,4,13,2,3,100,74.4,123,Asia,fase de grupos,no
Mehdi Torabi,MF,IR Iran,28.27,0.7,0,0,0,0,6,0,3,23,81.1,48,Asia,fase de grupos,no
Memphis,FW,Netherlands,28.84,3.3,0,1,1,5,10,1,5,61.9,75.6,165,Europe,cuartos de final,si
Meshaal Barsham,GK,Qatar,24.84,2,0,0,0,0,1,0,2,66.7,71.4,69,Asia,fase de grupos,no
Michael Estrada,FW,Ecuador,26.7,2.5,0,0,6,7,5,0,3,83.3,56,71,South America,fase de grupos,no
Michał Skóraś,MF,Poland,22.84,0.5,0,0,1,2,1,0,1,12.5,88.9,12,Europe,octavos de final,no
Michel Aebischer,MF,Switzerland,25.95,0.2,0,0,0,0,0,0,1,4.4,50,4,Europe,octavos de final,no
Michy Batshuayi,FW,Belgium,29.21,1.7,0,0,5,1,4,1,2,55.9,66.7,42,Europe,fase de grupos,no
Miki Yamane,DF,Japan,28.99,0.7,0,1,2,1,5,0,1,15.6,72.7,36,Asia,octavos de final,si
Mikkel Damsgaard,MF,Denmark,22.46,1.7,0,0,2,1,10,0,3,55.6,76.4,91,Europe,fase de grupos,no
Milad Mohammadi,DF,IR Iran,29.22,2.2,0,0,2,1,11,0,3,72.6,64.7,90,Asia,fase de grupos,no
Milan Borjan,GK,Canada,35.15,3,0,0,0,0,3,0,3,100,77.6,105,North America,fase de grupos,no
Miloš Degenek,DF,Australia,28.64,2,0,2,2,8,15,0,4,50.8,66.3,123,Oceania,octavos de final,si
Miloš Veljković,DF,Serbia,27.23,2.5,0,0,1,0,12,0,3,81.9,87.5,127,Europe,fase de grupos,no
Mislav Oršić,FW,Croatia,29.97,1.8,0,0,3,0,4,1,6,23.5,74.1,81,Europe,final o tercer puesto,no
