player,position,team,age,minutes_90s,cards_red,cards_yellow,fouls,fouled,ball_recoveries,goals,games,minutes_pct,passes_pct,touches,continent,ronda,amarillas
Andreas Cornelius,FW,Denmark,29.76,1,0,1,4,2,2,0,3,34.1,61.8,48,Europe,fase de grupos,si
Andreas Skov Olsen,FW,Denmark,22.97,1.5,0,0,2,1,3,0,2,48.9,68.3,76,Europe,fase de grupos,no
Andrej Kramarić,FW,Croatia,31.5,5.3,0,0,1,4,18,2,7,68.7,86.9,215,Europe,final o tercer puesto,no
Andries Noppert,GK,Netherlands,28.7,5.3,0,0,0,0,4,0,5,100,81.8,205,Europe,cuartos de final,no
Andrija Živković,DF,Serbia,26.44,2.3,0,0,2,4,11,0,3,77.8,74,118,Europe,fase de grupos,no
André Ayew,MF,Ghana,33,2.2,0,1,2,6,6,1,3,73.3,81.1,61,Africa,fase de grupos,si
André Onana,GK,Cameroon,26.71,0.9,0,0,0,0,1,0,1,29.6,76.3,60,Africa,fase de grupos,no
André Silva,FW,Portugal,27.12,0.3,0,0,0,0,0,0,1,5.8,81.8,14,Europe,cuartos de final,no
Andrés Guardado,MF,Mexico,36.22,0.5,0,0,1,0,5,0,1,15.2,68.8,22,North America,fase de grupos,no
Anis Ben Slimane,MF,Tunisia,21.76,1.6,0,0,0,0,5,0,2,54.8,63,72,Africa,fase de grupos,no
Ansu Fati,FW,Spain,20.13,0.5,0,0,0,0,1,0,2,11.8,86.2,33,Europe,octavos de final,no
Ante Budimir,FW,Croatia,31.41,0.6,0,0,4,2,0,0,2,8,40,12,Europe,final o tercer puesto,no
Anthony Contreras,FW,Costa Rica,22.88,1.4,0,1,1,1,4,0,3,46.3,57.7,38,North America,fase de grupos,si
Antoine Griezmann,MF,France,31.75,6,0,1,3,9,34,0,7,81.4,78.4,381,Europe,final o tercer puesto,si
Antoine Semenyo,FW,Ghana,22.95,0.2,0,0,0,0,0,0,2,7.4,50,6,Africa,fase de grupos,no
Antonee Robinson,DF,United States,25.36,4,0,0,2,0,40,0,4,99.7,71.8,288,North America,octavos de final,no
Antonio Rüdiger,DF,Germany,29.79,3,0,0,0,3,20,0,3,100,90.9,273,Europe,fase de grupos,no
Antony,FW,Brazil,22.81,1.9,0,0,2,5,12,0,4,35.8,78.9,145,South America,cuartos de final,no
António Silva,DF,Portugal,19.13,1,0,0,2,0,4,0,1,20,96.8,67,Europe,cuartos de final,no
Ao Tanaka,MF,Japan,24.27,1.9,0,0,1,1,9,1,3,43.8,69.6,84,Asia,octavos de final,no
Ardon Jasari,FW,Switzerland,20.39,0,0,0,0,0,1,0,1,0.6,83.3,8,Europe,octavos de final,no
Arkadiusz Milik,FW,Poland,28.8,1.1,0,1,1,2,3,0,3,28.1,65.5,39,Europe,octavos de final,si
