SE_ROW_ID,MSLINK,PARADA,RAMAL,SENTIDO,ORDEN,ID_PARADA,CALLE_UNO,CALLE_DOS,COD_SMS,OCHAVA,REFUGIO,DISTRITO,PUNTO_X,PUNTO_Y,CAMBIO,USUARIO_CA,TYPE,CHECKSUM,GEOJSON
3596,0,516,43,I,49,0,1886,1865,9770,NO        ,P         ,CENTRO                                                                                                                                                ,-60.656739,-32.945748,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656739, -32.945748 ] } }"
3597,0,515,43,I,48,0,1886,634,4108,NO        ,P         ,CENTRO                                                                                                                                                ,-60.65608,-32.943137,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656080, -32.943137 ] } }"
3599,0,860,14,I,26,0,13,1886,4516,NE        ,P         ,CENTRO                                                                                                                                                ,-60.661213,-32.964222,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661213, -32.964222 ] } }"
3604,0,859,14,I,25,0,13,1348,1450,NE        ,A         ,CENTRO                                                                                                                                                ,-60.65835,-32.964734,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658350, -32.964734 ] } }"
3607,0,633,14,I,24,0,902,1325,3698,NE        ,B         ,CENTRO                                                                                                                                                ,-60.656083,-32.966456,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656083, -32.966456 ] } }"
3637,0,720,20,I,199,0,1903,556,5001,NO        ,P         ,SUR                                                                                                                                                   ,-60.631799,-33.003628,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.631799, -33.003628 ] } }"
3638,0,719,20,I,81,0,1903,126,6454,NO        ,P         ,SUR                                                                                                                                                   ,-60.631851,-33.002396,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.631851, -33.002396 ] } }"
3639,0,717,20,I,79,0,1903,1371,8471,NO        ,P         ,SUR                                                                                                                                                   ,-60.631986,-32.999243,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.631986, -32.999243 ] } }"
3640,0,716,20,I,78,0,1903,1778,8498,NO        ,P         ,SUR                                                                                                                                                   ,-60.63203,-32.998215,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.632030, -32.998215 ] } }"
3641,0,715,20,I,77,0,1903,1128,8000,NO        ,P         ,SUR                                                                                                                                                   ,-60.63214,-32.996508,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.632140, -32.996508 ] } }"
3674,0,1390,64,V,225,0,1862,1886,5133,NE        ,P         ,CENTRO                                                                                                                                                ,-60.656841,-32.946901,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.656841, -32.946901 ] } }"
3708,0,2342,11,I,73,0,902,529,9687,NE        ,P         ,CENTRO                                                                                                                                                ,-60.660179,-32.965738,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660179, -32.965738 ] } }"
3709,0,1175,11,I,72,0,176,902,6033,NO        ,P         ,CENTRO                                                                                                                                                ,-60.65763,-32.966183,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657630, -32.966183 ] } }"
3729,0,366,11,I,55,0,1864,1886,8567,SO        ,P         ,CENTRO                                                                                                                                                ,-60.655543,-32.94101,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.655543, -32.941010 ] } }"
3732,0,365,11,I,54,0,1864,1262,1764,SO        ,A         ,CENTRO                                                                                                                                                ,-60.65826,-32.940521,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.658260, -32.940521 ] } }"
3734,0,364,11,I,53,0,1864,308,5369,SO        ,P         ,CENTRO                                                                                                                                                ,-60.659618,-32.940277,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659618, -32.940277 ] } }"
3735,0,1063,11,I,52,0,1411,1986,7039,NO        ,P         ,CENTRO                                                                                                                                                ,-60.660344,-32.937526,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.660344, -32.937526 ] } }"
3736,0,1062,11,I,51,0,1411,1852,5986,NO        ,P         ,CENTRO                                                                                                                                                ,-60.659748,-32.935168,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659748, -32.935168 ] } }"
3737,0,1466,11,I,50,0,1411,882,8849,NO        ,P         ,CENTRO                                                                                                                                                ,-60.659162,-32.932844,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.659162, -32.932844 ] } }"
3738,0,315,11,I,49,0,538,2017,1854,NO        ,A         ,NORTE                                                                                                                                                 ,-60.662869,-32.928241,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.662869, -32.928241 ] } }"
3760,0,447,1003,I,0,0,1473,529,1041,NE        ,A         ,CENTRO                                                                                                                                                ,-60.657264,-32.954203,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.657264, -32.954203 ] } }"
3828,0,2464,27,V,222,0,1901,1348,9561,NE        ,I         ,SUR                                                                                                                                                   ,-60.661302,-32.976241,2022-05-16,,0,0,"{ ""type"": ""Feature"", ""properties"": """", ""geometry"": { ""type"": ""Point"", ""coordinates"": [ -60.661302, -32.976241 ] } }"
